kd_laptop,nama_laptop,deskripsi_laptop
1,sodimm ddr5 5600mhz agi 32gb,
2,msi summit e13 ai evo a1mtg 033id touch 2in1 8211 black ultra 7 155h-16gb-ssd 1tb,
3,acer aspire lite al14-52m-59tf 8211 silver intel i5 1334u-16gb-ssd 512gb,
4,acer swift go sfg14-01-x3bg 8211 steel grey snapdragon x plus x1p-16gb-ssd 1tb,
5,asus rog strix g g614ju-i745j8g-om 8211 eclipse gray intel i7 13650hx-16gb-ssd 512gb-rtx4050,
6,asus zenbook s 14 oled ux5406sa core ultra 7 258v 32gb ssd 1tb,
7,msi bravo 15 b7ed 034id 8211 black ryzen 7 7735hs-16gb-ssd 512gb-rx6550m,
8,asus proart px13 hn7306wu-oleds911m touch 2in1 8211 nano black ryzen ai 9 365-24gb-ssd 1tb-rtx4050,
9,apple macbook air 13 16gb 512gb chip m3 8211 space grey,
10,asus vivobook go 14 e1404fa ryzen 5 7520u 8gb ssd 512gb,
11,asus tuf a15 fa507nvr-r746k6m-om 8211 mecha gray ryzen 7 7435hs-16gb-ssd 512gb-rtx4060,
12,msi modern 14 c7m 286id 8211 black ryzen 5 7430u-16gb-ssd 512gb,
13,asus vivobook 14 a1400ka intel celeron n4500 8gb ssd 256gb,
14,lenovo legion 5 15irx9 0bid 8211 storm grey intel i7 13650hx-12gb-ssd 512gb-rtx4060,
15,advan workpro lite 8211 grey intel i5 1035g7-8gb-ssd 256gb,
16,advan workpro 8211 grey intel i5 12450h-8gb-ssd 512gb,
17,asus tuf a15 fa506ncr-r735b6t-om ryzen 7 7435hs-16gb-ssd 512gb-rtx3050,
18,asus tuf a15 fa506nc-r535b6t-om ryzen 5 7535hs-8gb-ssd 512gb-rtx3050,
19,msi cyborg 15 a12vf 1435id 8211 translucent black intel i7 12650h-16gb-ssd 1tb-rtx4060,
20,asus rog strix g g614jv-i746c7g-om 8211 eclipse gray intel i7 13650hx-16gb-ssd 1tb-rtx4060,
21,asus tuf f15 fx507zc4-i535b1m-om 8211 mecha gray intel i5 12500h-8gb-ssd 512gb-rtx3050,
22,acer aspire 14 a14-51m-31rn 8211 steel gray intel core 3 100u-8gb-ssd 512gb,
23,asus rog zephyrus g14 ga403uv-r946ol7g-om 8211 eclipse grey ryzen 9 8945hs-32gb-ssd 1tb-rtx4060,
24,asus tuf a15 fa506nfr-r725b1t-om 8211 graphite black ryzen 7 7435hs-8gb-ssd 512gb-rtx2050,
25,asus tuf a15 fa506nf-r525b6t-om 8211 graphite black ryzen 5 7535hs-8gb-ssd 512gb-rtx2050,
26,hp victus 15 fb2997ax fb2998ax fb2999ax amd ryzen 5 8645hs 16gb ssd 512gb rtx4060,
27,msi modern 14-c7m-280id 8211 black ryzen 7 7730u-16gb-ssd 512gb,
28,msi prestige 14 c1veg 050id 8211 stellar gray ultra 7 155h-16gb-ssd 1tb-rtx4050,
29,msi prestige 14 c1udxg 049id 8211 stellar gray ultra 5 125h-16gb-ssd 512gb-rtx3050,
30,msi modern 14 c12mo 1282id 8211 silver intel i5 1235u-16gb-ssd 512gb,
31,advan tbook intel n100 4gb emmc 128gb,
32,acer predator helios neo 16 phn16 72 53ks 8211 black intel i5 14500hx-8gb-ssd 512gb-rtx4050,
33,acer aspire go 14 ag14 31p 34gm 8211 silver intel i3 n305-8gb-ssd 512gb,
34,lenovo ideapad 5 14irh9 touch 2in1 oled intel i7-13620h 16gb ssd 512gb,
35,lenovo ideapad 5 14irh9 touch 2in1 intel i5-13420h 16gb ssd 512gb 14 8243 wuxga w11 ohs,
36,asus tuf a14 fa401uu-r745g6g-om 8211 jaeger gray ryzen 7 8845hs-16gb-ssd 512gb-rtx4050,
37,acer aspire 14 a14-51gm-57bp 8211 steel grey intel i5 13420h-8gb-ssd 512gb-rtx2050,
38,advan soulmate plus 8211 grey ryzen 5 3500u-8gb-ssd 256gb,
39,asus vivobook 14 oled m1405ya amd ryzen 7 7730u 16gb ssd 1tb,
40,asus tuf f15 fx507vu-i745k6m-om 8211 mecha gray intel i7 13620h-16gb-ssd-rtx4050,
41,asus vivobook go 14 e410ka intel celeron n4500 8gb ssd 512gb,
42,advan ai gen ultra 8211 grey core ultra 5 125h-16gb-ssd 512gb,
43,asus vivobook go 14 e410ka intel celeron n4500 8gb ssd 256gb,
44,msi katana 15 b13vgk 2203id 8211 black intel i7 13620h-16gb-ssd 1tb-rtx4070,
45,msi cyborg 15 a13vfk 1436id 8211 translucent black intel i5 13420h-16gb-ssd 512gb-rtx4060,
46,lenovo ideapad slim 3 14abr8 ryzen 5 7530u 8gb ssd 512gb,
47,lenovo ideapad 5 pro 14ahp9 3lid 8211 artic grey ryzen 7 8845hs-16gb-ssd 1tb-rtx3050,
48,hp pavilion plus 14 ew0080tu ew0081tu ew0082tu intel i7-1355u 16gb ssd 1tb,
49,hp pavilion plus 14 ew0077tu ew0078tu ew0079tu intel i5-1335u 16gb ssd 512gb,
50,hp pavilion aero 13 bg0777au bg0888au amd ryzen 7-8840u 16gb ssd 1tb,
51,hp pavilion aero 13 bg0111au bg0222au amd ryzen 5-8640u 16gb ssd 512gb,
52,asus vivobook s 15 oled s5507qa-oledsh11m 8211 cool silver snapdragon x elite x1e 78 100 -32gb-ssd 1tb,
53,lenovo ideapad 5 oled 14iru9 touch 2in1 core 7 150u 16gb ssd 512gb,
54,lenovo ideapad 5 oled 14iru9 touch 2in1 core 5 120u 16gb ssd 512gb,
55,msi thin 15 b12ucx 2299id 8211 cosmos grey intel i5 12450h-8gb-ssd 512gb-rtx2050,
56,msi thin 15 b12uc 2411id 8211 cosmos grey intel i5 12450h-8gb-ssd 512gb-rtx3050,
57,asus vivobook 14 a1400ka-fhd459 8211 indie black intel celeron n4500-4gb-ssd 512gb,
58,msi thin 15 b12uc 2405id 8211 cosmos grey intel i7 12650h-8gb-ssd 512gb-rtx3050,
59,advan workpro lite 8211 grey intel i5 12450h 8gb ssd 256gb,
60,hp 14s dq5154tu 8211 silver intel i7 1255u-16gb-ssd 512gb,
61,asus vivobook s14 flip tn3402ya-vips558m touch 2in1 8211 quiet blue ryzen 5 7430u-16gb-ssd 512gb,
62,acer nitro v anv15 51 51u8 8211 black intel i5 13420h-8gb-ssd 512gb-rtx2050,
63,lenovo thinkpad e14 gen 6 6y00 ultra 5 125h 8gb ssd 512gb,
64,hp 14s dq3125tu dq3126tu dq3127tu intel celeron n4500 4gb ssd 512gb,
65,asus zenbook 14 oled ux3405ma ultra 5 125h 16gb ssd 1tb,
66,acer nitro v 15 anv15 51 77dg 8211 black intel i7 13620h-16gb-ssd 512gb-rtx2050,
67,asus zenbook 14 oled ux3405ma core ultra 7 155h 32gb ssd 1tb,
68,asus vivobook s 14 flip oled tp3402va touch 2in1 intel i7-13700h 16gb ssd 512gb 14 8243 w11 ohs m365,
69,asus vivobook go 15 oled e1504fa ryzen 3 7320u 8gb ssd 512gb,
70,asus tuf a15 fa506ncr-r735b1t-om 8211 graphite black ryzen 7 7435hs-8gb-ssd 512gb-rtx3050,
71,asus vivobook go 15 oled e1504fa-oled553m 8211 cool silver ryzen 5 7520u-16gb-ssd 512gb,
72,advan 360 stylus pro 2in1 touchscreen intel i3-1215u 8gb ssd 256gb,
73,hp 14 em0222au em0223au amd athlon silver 7120u 8gb ssd 512gb,
74,acer aspire lite al1 14m intel i3-1215u 8gb ssd 512gb,
75,asus vivobook 16x k3605zf-vips552m 8211 indie black intel i5 12500h-8gb-ssd 512gb-rtx2050,
76,advan workplus intel i5 12600h-24gb-ssd 512gb,
77,lenovo ideapad slim 3 14iau7 intel i3-1215u 8gb ssd 512gb,
78,asus tuf f15 fx507vi-i747k9m-om 8211 mecha grey intel i7 13620h-16gb-ssd 1tb-rtx4070,
79,lenovo ideapad slim 3 14iau7 intel i3 1215u 8gb ssd 256gb,
80,asus proart pz13 ht5306qa-oledsp11m 2in1 8211 nano black snapdragon x plus-16gb-ssd 1tb,
81,asus tuf a16 fa608wv-r946g7g-om 8211 jaeger gray ryzen ai 9 370-32gb-ssd 1tb-rtx4060,
82,asus vivobook go 14 e410ka-fhd425m 8211 star black celeron n4500-4gb-ssd 256gb,
83,acer swift go 14 oled sfg14-73-9686 8211 frost blue ultra 9 185h-32gb-ssd 1tb,
84,axioo mybook hype 5 x5 ryzen 5 5560u-8gb-ssd 256gb,
85,asus vivobook s 14 oled m5406wa-oleds911m 8211 neutral black ryzen ai 9-24gb-ssd 1tb,
86,advan workpro lite intel i3 1220p-8gb-ssd 256gb fhd display,
87,asus vivobook go 15 oled e1504fa amd ryzen 5 7520u 16gb ssd 512gb,
88,asus vivobook go 15 oled e1504fa amd ryzen 3 7320u 8gb ssd 512gb,
89,lenovo ideapad slim 3 14abr8 ryzen 5 7530u 16gb ssd 512gb,
90,kingston sodimm ddr5 8gb 4800mhz,
91,lenovo legion 7 16irx9 08id 8211 glacier white intel i9 14900hx-32gb-ssd 1tb-rtx4070,
92,asus zenbook 14 oled ux3405ma-oleds714tm touch oled display 8211 foggy silver ultra 7 155h-32gb-ssd 1tb,
93,dell inspiron 5440 intel i5 1334u 8gb ssd 512gb,
